semana;rrss_impresiones;rrss_inversion
23/11/2015;72902852.71;155283.0763
30/11/2015;16580099.55;66005.37631
07/12/2015;49953773.67;162699.4408
14/12/2015;31648297.03;112034.9715
21/12/2015;8801269.479;32115.83233
28/12/2015;49901081.11;135331.732
04/01/2016;41146695.82;141585.7803
11/01/2016;56553690.6;135163.3205
18/01/2016;35729563.64;139631.1347
25/01/2016;31860260.55;65409.11491
01/02/2016;0;0
08/02/2016;34248657.55;129117.439
15/02/2016;15188759.02;42604.46905
22/02/2016;0;0
29/02/2016;32457460.73;86693.87761
07/03/2016;0;0
14/03/2016;0;0
21/03/2016;0;0
28/03/2016;80240679.46;168906.6303
04/04/2016;3438178.323;8856.74736
11/04/2016;0;0
18/04/2016;28248364.1;63191.59049
25/04/2016;0;0
02/05/2016;0;0
09/05/2016;0;0
16/05/2016;50754966.77;106940.715
23/05/2016;0;0
30/05/2016;0;0
06/06/2016;0;0
13/06/2016;0;0
20/06/2016;33453960.66;71089.6664
27/06/2016;0;0
04/07/2016;0;0
11/07/2016;0;0
18/07/2016;33728872.87;124493.2698
25/07/2016;0;0
01/08/2016;53604561.39;192440.3754
08/08/2016;0;0
15/08/2016;15372941.62;41491.56943
22/08/2016;11663166.53;25565.66103
29/08/2016;0;0
05/09/2016;3878870.365;14185.02892
12/09/2016;0;0
19/09/2016;54563098.36;208267.3464
26/09/2016;0;0
03/10/2016;42678536.94;102727.2384
10/10/2016;46049657.17;184152.579
17/10/2016;61416892.42;164904.3561
24/10/2016;63941540.26;213436.8614
31/10/2016;71764591.94;180918.5363
07/11/2016;64032311.37;165715.6218
14/11/2016;52198572.16;105493.3143
21/11/2016;80484549.89;167166.4101
28/11/2016;53735753.5;194738.3707
05/12/2016;21468926.03;56012.42801
12/12/2016;29471934.6;113702.7237
19/12/2016;14121124.69;44778.08639
26/12/2016;68536049.5;252486.8064
02/01/2017;58170140.21;136525.3191
09/01/2017;58670678.03;155770.6502
16/01/2017;56038474.62;145924.1879
23/01/2017;86757062.44;233550.0121
30/01/2017;60053669.93;141846.7684
06/02/2017;0;0
13/02/2017;88204178.52;195548.6638
20/02/2017;0;0
27/02/2017;142690898.2;449619.0202
06/03/2017;0;0
13/03/2017;0;0
20/03/2017;0;0
27/03/2017;31146280.42;109105.4203
03/04/2017;0;0
10/04/2017;0;0
17/04/2017;0;0
24/04/2017;0;0
01/05/2017;0;0
08/05/2017;0;0
15/05/2017;0;0
22/05/2017;46341101.03;107001.6023
29/05/2017;0;0
05/06/2017;38494441.92;146663.8237
12/06/2017;0;0
19/06/2017;3287608.27;7485.884031
26/06/2017;0;0
03/07/2017;75116628.18;182232.94
10/07/2017;0;0
17/07/2017;0;0
24/07/2017;0;0
31/07/2017;0;0
07/08/2017;0;0
14/08/2017;0;0
21/08/2017;19321483.21;40903.57996
28/08/2017;14226048.49;37613.67221
04/09/2017;0;0
11/09/2017;8109862.433;28919.76944
18/09/2017;0;0
25/09/2017;31677562.48;78718.74276
02/10/2017;0;0
09/10/2017;58081600.28;170992.2312
16/10/2017;44811187.3;94372.36045
23/10/2017;64279547.01;238477.1194
30/10/2017;67033964.42;149083.5369
06/11/2017;39943030.37;145672.2318
13/11/2017;95671835.51;285676.1008
20/11/2017;36586638.06;73319.62267
27/11/2017;35526833.91;73789.23403
04/12/2017;22478813.62;66357.45781
11/12/2017;31415253.72;80925.69358
18/12/2017;14539176.28;33425.56627
25/12/2017;69048248.22;204175.67
01/01/2018;43209526.92;105344.8266
08/01/2018;66803744.28;214373.2154
15/01/2018;0;0
22/01/2018;0;0
29/01/2018;0;0
05/02/2018;8898204.043;21640.43223
12/02/2018;0;0
19/02/2018;0;0
26/02/2018;0;0
05/03/2018;0;0
12/03/2018;0;0
19/03/2018;0;0
26/03/2018;0;0
02/04/2018;0;0
09/04/2018;0;0
16/04/2018;21010312.28;45109.14047
23/04/2018;0;0
30/04/2018;145984945.1;428465.8139
07/05/2018;0;0
14/05/2018;145130039.9;398091.6994
21/05/2018;0;0
28/05/2018;14869672.24;47642.42986
04/06/2018;0;0
11/06/2018;0;0
18/06/2018;0;0
25/06/2018;39205418.58;130789.2764
02/07/2018;0;0
09/07/2018;102709071.7;222262.4312
16/07/2018;0;0
23/07/2018;0;0
30/07/2018;0;0
06/08/2018;0;0
13/08/2018;54621076.1;212312.1228
20/08/2018;0;0
27/08/2018;43863423.45;125493.2545
03/09/2018;0;0
10/09/2018;0;0
17/09/2018;41404945.34;130011.5284
24/09/2018;0;0
01/10/2018;11393121.82;33119.80513
08/10/2018;20321166.64;77098.50623
15/10/2018;35762073.02;113043.9128
22/10/2018;0;0
29/10/2018;91548168.79;217152.2564
05/11/2018;0;0
12/11/2018;117061263.8;259290.6993
19/11/2018;0;0
26/11/2018;65750650.87;156289.2971
03/12/2018;0;0
10/12/2018;0;0
17/12/2018;0;0
24/12/2018;96600553.4;283812.4259
31/12/2018;0;0
07/01/2019;19816822.4;75442.64288
14/01/2019;0;0
21/01/2019;31144830.82;63161.7169
28/01/2019;0;0
04/02/2019;0;0
11/02/2019;24003461.65;61976.93798
18/02/2019;0;0
25/02/2019;1531956.8;5706.53908
04/03/2019;0;0
11/03/2019;0;0
18/03/2019;83178409.76;228241.5564
25/03/2019;0;0
01/04/2019;35493120.25;117872.6524
08/04/2019;0;0
15/04/2019;0;0
22/04/2019;19360443.73;57326.27388
29/04/2019;31686579.01;119490.0894
06/05/2019;0;0
13/05/2019;65206240.82;214528.5323
20/05/2019;0;0
27/05/2019;0;0
03/06/2019;0;0
10/06/2019;3908308.617;9114.175695
17/06/2019;0;0
24/06/2019;0;0
